concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_dbleStar,ErrAr_dbleStar
0.1,55.6,0.05,1.0,100.0,87.55,86.56,62.94046810480936,62.95088994966271,100,12403.0,111.36875683960919
0.2,56.3,0.05,1.0,100.0,103.95,102.97,67.95101845514097,67.93839381038791,100,14218.0,119.23925528113634
0.5,55.9,0.05,1.0,100.0,94.27,93.33,72.34371591453699,72.36970946801465,100,13026.0,114.13150310059007
1.0,54.8,0.05,1.0,100.0,88.69,87.78,51.80162140124555,51.852467480712846,100,12360.0,111.17553687749837
2.0,56.5,0.05,1.0,100.0,104.65,103.91,69.38217612352875,69.61642308849517,100,14014.0,118.38074167701434
5.0,56.8,0.05,1.0,100.0,88.4,87.88,60.705448809406846,61.03869943144946,100,11913.0,109.14669028422254
10.0,57.9,0.05,1.0,100.0,94.77,94.66,63.93855241439616,64.39245517006074,100,11763.0,108.45736489515131
15.0,59.3,0.05,1.0,100.0,96.67,96.94,74.50375287137683,75.12882135359105,100,11350.0,106.53637876331258
20.0,60.0,0.05,1.0,100.0,99.82,100.51,57.367921208968205,57.96367636527015,100,11220.0,105.92450141492289
50.0,65.8,0.05,1.0,100.0,97.7,99.96,66.15218145391059,67.83937058979987,100,7490.0,86.54478609367523
80.0,71.2,0.05,1.0,100.0,111.95,116.96,65.67203100685754,68.70165628103572,100,3649.0,60.40695324215582
100.0,73.9,0.05,1.0,100.0,97.03,101.94,60.63476600503089,63.72824564452793,100,0.0,0.0
