concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_dbleStar,ErrAr_dbleStar
0.0,90.0,0.0516,1.0,100.0,9172.52,9171.16,6215.4391760446915,6215.2598338624775,100,1192696.0,1092.1062219399723
0.0,80.0,0.0602,1.0,100.0,9534.66,9533.48,5870.829415393234,5870.686770831171,100,1368754.0,1169.9376051738827
0.0,70.0,0.0722,1.0,100.0,9861.54,9860.51,6162.959930049355,6162.946218393284,100,1588211.0,1260.2424369937714
0.0,60.0,0.0901,1.0,100.0,10019.18,10018.17,6628.362273738453,6628.365238766257,100,1856499.0,1362.534036272122
1.0,90.0,0.0519,1.0,100.0,9641.9,9640.45,4799.829189932206,4799.617321393256,100,1247008.0,1116.695124015503
1.0,80.0,0.0608,1.0,100.0,9524.94,9523.77,5299.095489464655,5299.065156461491,100,1362535.0,1167.276745249386
1.0,70.0,0.0731,1.0,100.0,10007.49,10006.44,5777.601679028692,5777.504966923722,100,1599824.0,1264.8414920455448
1.0,60.0,0.0914,1.0,100.0,9402.6,9401.57,6016.652932075316,6016.616504877777,100,1732136.0,1316.1063786791703
10.0,90.0,0.0572,1.0,100.0,8501.87,8500.52,5391.379712573722,5391.185489240186,100,1045188.0,1022.3443646834465
10.0,80.0,0.0678,1.0,100.0,10009.53,10008.32,5744.020320606061,5743.9378406079295,100,1357818.0,1165.2544786440428
10.0,70.0,0.0832,1.0,100.0,8932.84,8931.77,5101.29285795535,5101.258145177264,100,1362093.0,1167.087400326128
10.0,60.0,0.1071,1.0,100.0,10547.21,10546.17,7069.077379393903,7069.010060357416,100,1857797.0,1363.0102714213126
100.0,90.0,0.1587,1.0,100.0,8426.04,8424.08,6148.365626503658,6147.655932815598,100,0.0,0.0
100.0,80.0,0.2124,1.0,100.0,10534.59,10532.98,8559.9460008386,8559.440117841183,100,0.0,0.0
100.0,70.0,0.303,1.0,100.0,10023.62,10022.29,9103.09985473369,9102.782467598807,100,0.0,0.0
